pygeostat_saved_data
12
HoleID
X
Y
Elevation
Z_Top
Z_Bottom
RockType
Prop1-Phi
Prop2-Vsh
Prop3-Kv
Prop4-Kh
Prop5-Sw
3. 405. 1715.    330.54334        382.79334        330.18146     5.   0.13859700       0.42181800       0.10000000E-03   0.10000000E-02   0.78331100    
3. 405. 1715.    331.04334        382.79334        330.18146     5.   0.78082000E-01   0.66603700       0.10000000E-03   0.10000000E-02   0.92285700    
3. 405. 1715.    331.54334        382.79334        330.18146     3.   0.31786200       0.21585300        727.41432        1819.1496       0.13187100    
3. 405. 1715.    332.04334        382.79334        330.18146     3.   0.39703500       0.35916000E-01    8158.6284        9486.7773       0.11833600    
3. 405. 1715.    332.54334        382.79334        330.18146     1.   0.24175500       0.23584800        204.91616        697.51595       0.47545900    
3. 405. 1715.    333.04334        382.79334        330.18146     1.   0.23064900       0.21060300        201.08058        680.29208       0.64098900    
3. 405. 1715.    333.54334        382.79334        330.18146     1.   0.21125000       0.60950000E-01    5957.2559        3542.7329       0.59852500    
3. 405. 1715.    334.04334        382.79334        330.18146     1.   0.15178100       0.32459600        6.6508630        21.021946       0.74887400    
3. 405. 1715.    334.54334        382.79334        330.18146     1.   0.22486900       0.21077700        280.61974        960.70819       0.44092100    
3. 405. 1715.    335.04334        382.79334        330.18146     2.   0.32180200       0.68317000E-01    3694.9320        4297.0026       0.21288500    
3. 405. 1715.    335.54334        382.79334        330.18146     1.   0.21332400       0.22973500        217.00213        739.49673       0.33113800    
3. 405. 1715.    336.04334        382.79334        330.18146     2.   0.34140300       0.38789000E-01    5371.0239        6245.7759       0.13991700    
3. 405. 1715.    336.54334        382.79334        330.18146     2.   0.34980900       0.76600000E-01    6076.1437        7065.8306       0.15257400    
3. 405. 1715.    337.04334        382.79334        330.18146     2.   0.36315900       0.80155000E-01    6875.5547        7994.9259       0.13741600    
3. 405. 1715.    337.54334        382.79334        330.18146     2.   0.36008100       0.98162000E-01    6725.6209        7820.7433       0.14191900    
3. 405. 1715.    338.04334        382.79334        330.18146     2.   0.34208900       0.13854000        5364.0309        6237.6058       0.15496700    
3. 405. 1715.    338.54334        382.79334        330.18146     3.   0.27118400       0.18628700        266.53827        665.58343       0.35331200    
3. 405. 1715.    339.04334        382.79334        330.18146     3.   0.28802400       0.86288000E-01    441.56563        1116.4467       0.37019500    
3. 405. 1715.    339.54334        382.79334        330.18146     3.   0.26345500       0.18000000        200.44533        501.82467       0.62876300    
3. 405. 1715.    340.04334        382.79334        330.18146     3.   0.23129500       0.30057800        65.698444        160.76690       0.59916200    
3. 405. 1715.    340.54334        382.79334        330.18146     3.   0.27720300       0.16842200        321.98132        803.73876       0.34819900    
3. 405. 1715.    341.04334        382.79334        330.18146     4.   0.21976600       0.26539400        56.127046        122.19387       0.50715200    
3. 405. 1715.    341.54334        382.79334        330.18146     4.   0.17729100       0.41496200        12.148417        26.404420       0.47938000    
3. 405. 1715.    342.04334        382.79334        330.18146     2.   0.33335100       0.94478000E-01    4434.1659        5157.8997       0.14632900    
3. 405. 1715.    342.54334        382.79334        330.18146     2.   0.34708400       0.73244000E-01    5755.8576        6693.2027       0.20001700    
3. 405. 1715.    343.04334        382.79334        330.18146     2.   0.36593000       0.41111000E-01    6981.9901        8116.1507       0.21397600    
3. 405. 1715.    343.54334        382.79334        330.18146     2.   0.33976200       0.80153000E-01    5073.0277        5900.1053       0.18913000    
3. 405. 1715.    344.04334        382.79334        330.18146     2.   0.34278300       0.20030000E-02    5469.2907        6358.9133       0.29622600    
3. 405. 1715.    344.54334        382.79334        330.18146     3.   0.27971200       0.15279500        348.93619        871.75887       0.30095700    
3. 405. 1715.    345.04334        382.79334        330.18146     3.   0.26134000       0.21720000        229.20544        568.24157       0.33513700    
3. 405. 1715.    345.54334        382.79334        330.18146     3.   0.25215500       0.31845300        156.79270        391.91073       0.22940300    
3. 405. 1715.    346.04334        382.79334        330.18146     3.   0.26286000       0.22944900        211.49590        529.12707       0.42774800    
3. 405. 1715.    346.54334        382.79334        330.18146     2.   0.31970900       0.12654500        3358.5382        3905.5667       0.49951900    
3. 405. 1715.    347.04334        382.79334        330.18146     2.   0.30459000       0.99983000E-01    2477.5105        2884.6435       0.34734100    
3. 405. 1715.    347.54334        382.79334        330.18146     3.   0.25877100       0.19865100        173.02388        433.55447       0.43687500    
